customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8819-WFGGJ,,0.0,Yes,No,74.40618274830348,No,No,DSL,Yes,No,Yes,,Yes,Yes,Two year,Yes,Bank transfer (automatic),37.87387660922123,3786.548950492771,No
7427-AUFPY,Male,0.0,No,No,39.4535585686516,Yes,,No,No internet service,No,,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),29.147091440651607,1024.6175556604212,No
2811-POVEX,Female,1.0,Yes,,50.702074314578375,Yes,No,,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),,2126.8859130028472,No
1092-GANHU,Male,0.0,No,No,11.986991999695523,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.80315634529698,,Yes
7898-PDWQE,Male,0.0,Yes,No,75.39822454031355,Yes,Yes,DSL,Yes,,Yes,,No,Yes,Two year,No,Credit card (automatic),77.41193221786126,5728.348837530485,No
9972-EWRJS,,0.0,Yes,,78.81843274198691,Yes,,No,No internet service,No,,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-2.4314545340403875,1374.9468104628017,No
9314-IJWSQ,,0.0,Yes,Yes,17.52608727817738,Yes,Yes,Fiber optic,,,,No,Yes,No,,Yes,,91.46387415814829,1203.428535898005,No
0661-XEYAN,,1.0,No,,10.865824087094149,No,No,DSL,No,No,No,No,No,No,,Yes,Mailed check,13.942609476470217,,Yes
5799-JRCZO,Female,,No,,,Yes,No,No,,No,,No internet service,No internet service,,,No,Credit card (automatic),29.310660367446584,1219.9687322870036,No
1921-KYSAY,Female,,,No,61.7904072113112,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,,Electronic check,69.66173396663393,2866.473114477577,No
6198-RTPMF,Female,0.0,Yes,,37.48815738157366,Yes,Yes,Fiber optic,No,,No,No,,,Month-to-month,No,Electronic check,83.0850248641257,1585.2081235802978,No
2924-KHUVI,Male,0.0,Yes,No,70.87982235786572,Yes,Yes,Fiber optic,Yes,No,No,No,,Yes,One year,Yes,Electronic check,130.75979809977906,5519.375109517413,No
1925-GMVBW,Female,0.0,No,,-0.6029833952443635,Yes,No,No,,No,No internet service,No internet service,No internet service,No internet service,,No,Credit card (automatic),3.841748403993222,76.56329903110876,No
7881-EVUAD,Female,,No,No,-9.254681566859492,No,No,DSL,,Yes,No,,,Yes,Month-to-month,Yes,Electronic check,57.95152304728782,52.03545147583736,Yes
6184-DYUOB,Female,0.0,Yes,No,,Yes,No,,No internet service,No,No internet service,,,No internet service,Month-to-month,Yes,Mailed check,11.942118064790819,,No
9207-ZPANB,,0.0,No,No,33.56998336287595,Yes,,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,69.910123983476,2454.08154384704,No
5766-XQXMQ,Female,0.0,No,No,27.03467660669959,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,,Yes,Bank transfer (automatic),89.44478375444496,1984.1024500466287,Yes
9327-QSDED,Male,0.0,No,No,,Yes,No,DSL,No,No,No,No,,No,Month-to-month,No,Mailed check,,353.3534888539208,No
1656-DRSMG,Female,0.0,No,No,35.49520686393166,Yes,,,No,Yes,Yes,Yes,Yes,Yes,,Yes,,103.46295901042188,6981.654716378167,No
3012-VFFMN,Female,0.0,,,0.7327972502483995,Yes,No,No,No internet service,No,No internet service,No internet service,,No internet service,Month-to-month,No,Mailed check,25.219627720782718,154.75733406828004,No
2984-AFWNC,Female,0.0,,,8.86856365537548,Yes,No,Fiber optic,No,Yes,No,,Yes,Yes,Month-to-month,,,119.41200252619959,263.62608752125954,No
0640-YJTPY,Male,0.0,Yes,Yes,92.20419068503128,Yes,No,No,No internet service,,No internet service,,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.061837316276396,1510.3887171178048,No
8096-LOIST,Female,0.0,No,No,-13.849488233223703,,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,32.6001440545281,,No
9764-REAFF,Female,0.0,Yes,No,86.06199852183515,Yes,No,No,,No,,No internet service,,No internet service,Two year,,Bank transfer (automatic),,,No
3703-VAVCL,,,Yes,Yes,-5.645455381696001,Yes,No,,No,,,Yes,No,Yes,Month-to-month,No,Credit card (automatic),87.59054812189815,187.9237738180506,Yes
7107-UBYKY,Female,0.0,Yes,Yes,45.508934638208345,Yes,Yes,No,No internet service,No,,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,,875.2584130385342,No
4881-GQJTW,Male,0.0,,,7.7236091623062455,,,No,,No,No internet service,,No internet service,No internet service,Month-to-month,No,Credit card (automatic),3.840819654548044,286.98623991362774,No
8519-QJGJD,Female,0.0,No,No,22.90079603911991,Yes,No,Fiber optic,,No,Yes,,No,,,No,Electronic check,53.54731251157258,1027.968000123476,Yes
7876-DNYAP,Female,0.0,Yes,,,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,,,20.51698532928664,1445.6155721698483,No
7905-NJMXS,Male,1.0,Yes,No,,Yes,,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,77.78033208799867,477.9485796274199,No
2882-WDTBA,Male,,Yes,Yes,,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),86.42831459402754,,No
2091-GPPIQ,Female,,Yes,Yes,,Yes,Yes,,No,Yes,No,Yes,Yes,Yes,Two year,,Electronic check,89.96912344235992,5756.4658961014,No
6326-MTTXK,Male,0.0,No,,12.184093847204363,Yes,,Fiber optic,No,Yes,,,Yes,Yes,Month-to-month,No,Electronic check,93.00897017893413,825.7317969349564,Yes
5071-FBJFS,Female,0.0,Yes,Yes,1.930422131500087,Yes,No,DSL,,No,No,No,No,,Month-to-month,No,Electronic check,,,No
2796-UUZZO,Male,0.0,Yes,Yes,53.012596697656406,,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),95.50046274251545,4888.159149964866,No
2429-AYKKO,Male,0.0,No,No,56.93401206672079,Yes,No,No,No internet service,No,,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),14.967160659273471,1433.8247661290143,No
9798-OPFEM,,0.0,No,No,57.73795559679905,Yes,No,No,No internet service,No,No internet service,No internet service,,No internet service,Two year,Yes,,45.438821680037336,,No
0330-IVZHA,,0.0,,No,,Yes,No,Fiber optic,No,No,,No,No,No,Month-to-month,No,Electronic check,94.16851768556587,335.0101499248787,Yes
3794-NFNCH,,,Yes,No,29.626068163155477,Yes,No,,No,No,Yes,,No,No,Month-to-month,Yes,Mailed check,38.07075074928544,1465.306101575556,No
5193-QLVZB,Male,0.0,,No,68.9652712263127,Yes,Yes,Fiber optic,,,,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.56959462704334,,No
7114-AEOZE,,0.0,No,,49.61171271621616,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),,,No
2886-KEFUM,Female,0.0,,No,59.80806251779353,Yes,Yes,Fiber optic,No,Yes,,,,Yes,,Yes,,,6863.195912950533,Yes
5522-NYKPB,Male,0.0,Yes,Yes,34.96872972750005,Yes,No,,No,No,,Yes,Yes,No,Month-to-month,No,Electronic check,68.80410311846276,2184.3244065422896,No
4237-RLAQD,Male,,No,No,,,No,DSL,No,No,No,,No,No,Month-to-month,,Mailed check,,48.89757301018953,Yes
9957-YODKZ,,,Yes,No,5.921578642309917,Yes,Yes,Fiber optic,No,,Yes,No,No,No,Month-to-month,,Electronic check,70.01901871281419,445.82639228056223,No
6518-KZXCB,Male,0.0,No,No,28.11665852105672,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,,570.4778742835439,No
2245-ADZFJ,Female,0.0,Yes,,26.507160757981644,Yes,Yes,DSL,No,Yes,No,Yes,Yes,,Two year,,Bank transfer (automatic),,2476.7920993098,No
7776-QGYJC,Female,,Yes,Yes,28.648903375445567,Yes,,Fiber optic,,No,Yes,,No,No,Month-to-month,Yes,Bank transfer (automatic),88.85280088530665,3116.8904981002256,No
9313-QOLTZ,,,,No,30.83704303075787,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,43.02697822822238,517.9569664704037,No
9651-GTSAQ,,0.0,Yes,No,64.73040034128746,Yes,No,Fiber optic,Yes,,Yes,,Yes,Yes,One year,Yes,Bank transfer (automatic),100.37888269602108,5772.584374247522,Yes
3186-BAXNB,Female,0.0,,,-8.76759467934878,Yes,No,Fiber optic,,,No,,Yes,No,,No,Electronic check,106.9647248685122,111.6956223546022,Yes
4672-FOTSD,Male,0.0,No,No,8.36684533253438,Yes,,DSL,,Yes,No,Yes,No,No,Month-to-month,,Electronic check,69.83937285475906,839.4505853300008,No
0637-YLETY,Female,0.0,,No,-1.322483786493951,,Yes,,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.13764088871504,1526.6804006003285,Yes
9818-XQCUV,Female,0.0,No,No,,Yes,,No,No internet service,No,No internet service,No internet service,No internet service,,Month-to-month,,Mailed check,,37.27900948141069,No
7338-ERIVA,Male,0.0,,Yes,54.605452419979095,,No,DSL,Yes,No,No,Yes,Yes,No,,No,,33.250192516285054,1778.1171843044644,No
1157-BQCUW,Male,,,No,32.243470950042365,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45351080101108,78.18435076719958,Yes
8259-NFJTV,Female,0.0,,Yes,-0.03517629647579579,No,No,DSL,,No,No,Yes,,No,Month-to-month,No,Mailed check,45.83122969977995,,No
3223-DWFIO,Male,,No,No,-1.6019671561184632,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,No,Electronic check,,276.2336217624265,No
2660-EMUBI,Male,1.0,No,No,6.1199691790602255,Yes,Yes,Fiber optic,No,No,No,,Yes,Yes,Month-to-month,,,123.57767821224107,902.625881483871,Yes
6968-GMKPR,Female,,No,No,62.73160064517817,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,,69.5006603718163,4483.960087263343,No
4751-ERMAN,Male,0.0,Yes,Yes,74.17625513998603,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.62989313540918,,No
1436-ZMJAN,Female,0.0,Yes,,16.081756248662806,,No,DSL,No,No,Yes,No,,Yes,Month-to-month,Yes,Credit card (automatic),65.78676261371622,664.0577378614302,No
3292-PBZEJ,Male,,No,No,10.034117499292039,Yes,Yes,,No,Yes,,Yes,,Yes,Month-to-month,Yes,Electronic check,138.04299420672118,1179.6615417809453,No
0799-DDIHE,Female,,Yes,Yes,31.66166336821328,Yes,No,DSL,No,No,No,No,No,No,,No,,72.87029026380496,647.3310198118892,No
3070-FNFZQ,Female,0.0,,Yes,28.65903496622264,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.13127626053182,469.25902974821406,No
2812-SFXMJ,,0.0,No,Yes,10.474061877122988,Yes,No,No,,No,No internet service,,No internet service,No internet service,Month-to-month,No,Mailed check,-3.9085529304025606,8.056953166257456,No
7675-OZCZG,,1.0,No,No,5.888803619475961,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.7868625093766,105.68859685008411,Yes
5014-WUQMG,Male,0.0,Yes,Yes,58.49787094162271,,,Fiber optic,Yes,Yes,Yes,No,,,One year,Yes,,88.34359719628364,4374.4312521862585,No
5312-TSZVC,Female,0.0,No,Yes,-0.015202636391530078,Yes,,,No internet service,No,No internet service,No internet service,,No internet service,One year,No,Mailed check,30.10607458500428,296.68175142629684,No
2003-CKLOR,Male,,No,No,75.50963382862668,Yes,No,Fiber optic,No,Yes,Yes,No,,Yes,,No,Electronic check,108.00138829879607,6719.330209452547,Yes
0993-OSGPT,Female,1.0,Yes,No,54.30607619392793,Yes,,,No,,Yes,Yes,No,No,One year,Yes,,73.50352788422765,3957.9461334289326,No
9254-RBFON,Female,0.0,Yes,Yes,8.465814408898028,Yes,No,,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),97.78957151009664,1683.4623220556143,Yes
1205-WNWPJ,Female,0.0,,No,,Yes,,DSL,No,No,,Yes,Yes,No,Month-to-month,Yes,Mailed check,42.80555639542526,415.3184951876228,Yes
9391-EOYLI,Male,1.0,Yes,No,,Yes,,Fiber optic,No,No,,No,No,Yes,,Yes,Electronic check,,945.7623289442712,Yes
7108-DGVUU,Female,,,No,17.29214316694869,Yes,Yes,DSL,No,Yes,Yes,,No,,One year,No,,59.438737905527645,1511.6061068643876,No
2782-JEEBU,Male,0.0,No,No,,No,No,,No,Yes,,Yes,No,,Month-to-month,Yes,,26.578115930290764,782.2807732315105,No
5127-BZENZ,Female,0.0,Yes,Yes,64.50658867710226,Yes,,DSL,Yes,No,,,Yes,No,One year,No,Bank transfer (automatic),87.3100979412282,3510.5972910626124,No
2720-FVBQP,Female,0.0,Yes,Yes,,Yes,Yes,DSL,No,,No,No,No,,,Yes,,51.73766210336959,283.0191853215331,No
9906-NHHVC,Female,1.0,No,No,53.31070269315136,No,No,,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.26125801123123,3519.5739029353067,No
4522-XRWWI,Male,0.0,Yes,No,39.030582321327095,Yes,Yes,DSL,Yes,No,No,,Yes,,One year,No,,93.01537854513438,3359.2806557721156,No
3766-EJLFL,Female,0.0,Yes,Yes,58.184964821108,Yes,,Fiber optic,,No,,,Yes,Yes,Two year,,Bank transfer (automatic),81.06369559540808,7532.349950362909,No
5939-SXWHM,Male,0.0,Yes,Yes,29.16215338908535,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,,24.954805467080206,1245.58493507489,No
8152-UOBNY,,1.0,No,,34.56791250787678,Yes,Yes,,,Yes,No,,,Yes,One year,Yes,Electronic check,119.26694980548956,,No
7351-KYHQH,Female,1.0,No,No,9.277599751011454,Yes,No,,No,Yes,Yes,No,Yes,No,Month-to-month,,Electronic check,75.82731716561347,,No
7643-RCHXS,Female,0.0,Yes,Yes,91.00955392596435,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,,1264.7965507007143,No
8246-SHFGA,Male,,,No,-6.621490035287167,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),,376.5455566385947,No
8387-MOJJT,Female,0.0,Yes,,45.935732465400406,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),,3374.6056293746683,Yes
0620-XEFWH,,0.0,Yes,Yes,-9.33549226087057,,No,,No internet service,,,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,7.46958742342064,,No
6485-QXWWE,Female,0.0,No,,66.78870284404529,Yes,Yes,No,No internet service,No,,,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.3674003520287386,1640.3749023490557,No
2761-OCIAX,Male,1.0,No,,-23.593688800295183,Yes,No,Fiber optic,No,,No,No,,No,Month-to-month,Yes,Electronic check,81.81868336922633,179.79903300613645,Yes
7321-VGNKU,Female,0.0,Yes,No,9.511695788037368,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.26940083220346,121.95637323355398,No
5327-CNLUQ,Male,,,No,,,Yes,Fiber optic,,Yes,Yes,No,Yes,No,,Yes,Bank transfer (automatic),99.56067174756792,4468.553635741198,No
7552-KEYGT,Male,0.0,Yes,No,27.96086875658278,Yes,No,No,,No,,No internet service,,,Two year,,Bank transfer (automatic),30.197138423051875,525.8029657700422,No
5816-JMLGY,Female,0.0,,Yes,88.21279129999559,Yes,No,DSL,No,Yes,,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),,5728.084430900408,No
3068-OMWZA,Male,1.0,,,-15.953356597478823,,,Fiber optic,No,,Yes,No,Yes,,Month-to-month,Yes,Electronic check,,95.30572938953296,Yes
2927-QRRQV,,0.0,,No,59.43183358057809,Yes,,Fiber optic,No,Yes,Yes,No,,No,One year,Yes,Electronic check,105.94029215135446,4308.101638512748,No
6032-KRXXO,,,No,,36.240744944862605,,No,Fiber optic,No,No,No,,Yes,Yes,Month-to-month,Yes,Electronic check,,,Yes
7459-RRWQZ,,0.0,No,No,8.027192515560774,,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.14122104210483,1021.9181567025782,Yes
6265-SXWBU,,0.0,,,71.02618731419794,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,,No,Credit card (automatic),110.12254547044361,6499.950230789369,No
7941-RCJOW,Male,,No,No,,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,,Yes,Credit card (automatic),17.09431648185461,1212.0347697141287,No
6374-NTQLP,Male,,Yes,,75.61967699658861,Yes,,Fiber optic,Yes,,,Yes,Yes,Yes,Two year,Yes,,83.58353281842783,7440.476033387439,No
4154-AQUGT,Male,1.0,Yes,No,18.250686538740556,Yes,No,Fiber optic,No,Yes,,Yes,No,Yes,Month-to-month,Yes,,91.1695438317378,1171.3539500192892,Yes
2387-KDZQY,Male,0.0,,,3.484224003337662,Yes,No,No,No internet service,No,No internet service,No internet service,,No internet service,One year,,Mailed check,10.895732617347896,,No
3584-WKTTW,Male,,Yes,No,46.76968101299495,Yes,Yes,Fiber optic,Yes,No,Yes,,Yes,Yes,One year,Yes,Electronic check,108.97608654650381,5734.5649173972615,No
3399-BMLVW,Male,0.0,Yes,,51.96001418737164,,No,DSL,,Yes,,,No,,Two year,No,Credit card (automatic),,3123.4488102253913,No
1971-DTCZB,Female,0.0,,,66.55062311242611,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.8521265501128,6467.631468165355,No
3092-IGHWF,Male,0.0,Yes,Yes,49.918917305866444,Yes,,,,Yes,Yes,No,No,No,One year,,,94.87813891101374,,Yes
3374-PZLXD,Male,0.0,No,No,,Yes,No,,,,No internet service,No internet service,No internet service,No internet service,,,Mailed check,13.058210733641022,664.7684015384184,No
3813-DHBBB,Male,0.0,,No,44.973406333049084,No,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),55.991209632996494,3532.4290787384653,No
2812-REYAT,,,Yes,,73.49565503255991,,No,No,No internet service,No,No internet service,,No internet service,No internet service,One year,Yes,,37.022892450076185,918.2012702156935,No
6518-PPLMZ,Male,0.0,Yes,Yes,,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,,Two year,Yes,Mailed check,20.027115434239345,1136.6002224414606,No
4939-KYYPY,Male,0.0,No,No,35.42810234165535,Yes,Yes,DSL,,,Yes,Yes,No,,,No,Electronic check,54.1925551223917,,No
8017-LXHFA,Female,1.0,No,No,36.58729436665288,Yes,No,Fiber optic,No,,No,No,,,Month-to-month,,Electronic check,100.12240935228543,,Yes
5930-GBIWP,Male,0.0,,No,58.20929173030141,,Yes,,Yes,Yes,,Yes,No,Yes,Two year,Yes,Credit card (automatic),77.46639871020675,5533.933227083613,No
6022-KOUQO,Female,0.0,Yes,Yes,16.112976461748826,No,,DSL,No,No,No,,,No,Month-to-month,No,Bank transfer (automatic),,68.83204811416786,No
6352-TWCAU,Female,0.0,No,,30.22478320192843,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.07280844283541,3039.6852499124116,Yes
2361-UPSND,Female,0.0,Yes,,36.93446218594985,,No,DSL,,,No,Yes,No,Yes,,No,Mailed check,67.85447249175053,3258.0967589234515,No
6035-RIIOM,Female,0.0,No,No,53.69277664315142,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.10570860060962,5121.07778623119,No
2929-QNSRW,Female,0.0,Yes,No,65.01373029862108,Yes,Yes,Fiber optic,,,No,No,Yes,Yes,One year,Yes,Electronic check,81.23752403589799,,Yes
1262-OPMFY,Female,0.0,,No,1.033660074823012,Yes,No,,No,No,,No,,No,Month-to-month,Yes,Bank transfer (automatic),76.11767135733604,669.0553441842553,Yes
9504-DSHWM,Male,0.0,,No,17.892524285619643,Yes,Yes,DSL,Yes,,No,,No,No,,No,Bank transfer (automatic),46.47182927834759,1184.9284788735747,No
5035-BVCXS,Male,0.0,No,No,9.629238353868955,,No,Fiber optic,,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,93.65021275520417,853.7041660837104,No
6267-DCFFZ,Female,1.0,,No,48.93258384493379,,,Fiber optic,No,,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.21699677153013,2603.525086685135,No
3533-UVMOM,Male,0.0,Yes,No,,Yes,No,DSL,Yes,Yes,,No,No,,Two year,No,Bank transfer (automatic),,4717.531667618316,No
2439-LYPMQ,,1.0,Yes,No,20.515034571746657,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,115.7078860279945,,No
4248-QPAVC,Female,1.0,Yes,,6.017971957816339,Yes,,,,,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),,1489.9158928316779,Yes
1899-VXWXM,Male,,No,No,57.92778271110395,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,,,,Credit card (automatic),101.89594627439891,5080.264405990132,Yes
1478-VPOAD,Female,0.0,,No,-7.7758599567881905,,No,DSL,No,No,No,No,,,,No,Electronic check,18.498767336329323,24.461591608618416,No
9995-HOTOH,Male,,,Yes,,No,No,DSL,Yes,Yes,Yes,No,,Yes,Two year,No,,42.069619993930274,3691.777369410218,No
2988-PLAHS,Female,0.0,No,No,-4.71484059542066,Yes,No,DSL,No,,Yes,No,,Yes,One year,Yes,,,,No
1371-OJCEK,Female,,No,No,39.81362715920926,Yes,Yes,No,,,No internet service,No internet service,No internet service,,One year,No,Bank transfer (automatic),23.659874194840697,,No
4999-IEZLT,Male,0.0,No,No,65.7182837152359,No,No,,No,,,Yes,No,No,,No,,22.44180194096648,1993.323968752804,No
8883-ANODQ,Female,,Yes,,62.662848177245145,,Yes,Fiber optic,,,Yes,No,No,,Two year,Yes,Credit card (automatic),92.34537727161421,5751.1589871737715,No
4690-LLKUA,Male,1.0,No,No,,Yes,No,,No,No,No,No,No,No,Month-to-month,,Electronic check,35.89280178833709,769.7000719332231,Yes
2351-RRBUE,,0.0,Yes,Yes,0.7113439527866587,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,,One year,,Mailed check,9.129999111987473,129.8506788623917,No
5980-BDHPY,Male,0.0,Yes,No,,Yes,,DSL,Yes,Yes,Yes,Yes,Yes,,Two year,,Bank transfer (automatic),90.81749609136942,6214.98410557502,No
1498-DQNRX,,0.0,,No,30.609721688008996,Yes,No,No,,No,,No internet service,,No internet service,Month-to-month,No,Mailed check,4.258434565149633,567.9818912725199,No
9469-WEJBT,,0.0,,No,25.61721777258299,Yes,No,Fiber optic,,No,Yes,,No,Yes,Month-to-month,Yes,Electronic check,81.98441858108995,,No
3331-HQDTW,Female,0.0,,No,23.48413091181725,Yes,Yes,Fiber optic,,Yes,Yes,No,Yes,Yes,,Yes,,101.26335977676314,3594.969671270082,Yes
9490-DFPMD,Female,1.0,No,No,17.329893783982087,Yes,Yes,Fiber optic,No,No,No,,Yes,No,Month-to-month,Yes,,96.04909397325774,3515.378591473023,Yes
2581-VKIRT,,0.0,Yes,Yes,77.56022369342479,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,58.021662733881634,3803.692807031506,No
5442-XSDCW,Male,0.0,,Yes,-2.5900358819720815,Yes,,Fiber optic,No,No,No,No,,No,Month-to-month,Yes,Bank transfer (automatic),78.56155811091094,892.5266231337213,Yes
7426-WEIJX,Male,1.0,Yes,Yes,64.27900728681013,Yes,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,,,,No
2851-MMUTZ,Female,,No,No,38.76640338318346,,,DSL,No,Yes,No,Yes,,No,Month-to-month,Yes,Mailed check,62.841203079559854,1442.5600679192075,No
3049-NDXFL,Female,0.0,No,No,,Yes,Yes,,No,No,No,No,,Yes,,No,Mailed check,,95.65212119921854,Yes
8580-AECUZ,Male,1.0,,No,,Yes,No,,,No,No,No,Yes,,,Yes,Electronic check,71.9283485575211,102.27239771085723,Yes
3307-TLCUD,Male,0.0,Yes,No,27.008481178893586,No,No,DSL,Yes,No,Yes,No,No,No,,,Mailed check,31.616183561861746,604.6558203151487,No
6625-FLENO,Male,0.0,Yes,No,47.830141748298324,,No,No,No internet service,No,No internet service,,,No internet service,Two year,No,Mailed check,31.66188181399166,1174.3142351276194,No
2967-MXRAV,Male,0.0,Yes,Yes,-1.3356455978403443,,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,,No,Mailed check,,21.541470550245126,No
7963-GQRMY,Female,0.0,Yes,Yes,-8.90276233544355,Yes,No,DSL,No,No,No,No,No,,Month-to-month,No,Mailed check,8.54571853943061,127.25335322470472,Yes
8189-HBVRW,Female,0.0,,No,29.24397279315907,Yes,Yes,Fiber optic,Yes,,Yes,No,No,No,Month-to-month,No,,83.68977418670228,4902.639345738916,No
4163-KIUHY,Male,,No,No,22.960965717390355,,Yes,,,,,No internet service,No internet service,,Month-to-month,Yes,Electronic check,54.05970790419414,912.2149664542346,No
1228-FZFRV,Male,,Yes,Yes,42.769841987525275,Yes,Yes,Fiber optic,Yes,,Yes,No,Yes,,Month-to-month,No,Credit card (automatic),,,Yes
3500-NSDOA,Male,0.0,Yes,Yes,64.37698561150707,Yes,Yes,DSL,,Yes,No,Yes,,Yes,Two year,No,Credit card (automatic),49.14326244254798,4857.3738972339925,No
1171-TYKUR,Male,0.0,Yes,No,46.55324204511924,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2.2769235405653916,1147.723075598167,No
3761-FLYZI,,1.0,,No,67.88327999777714,Yes,Yes,Fiber optic,No,,Yes,,Yes,,Month-to-month,,,103.85142139712524,7087.4964516834525,No
2058-DCJBE,Male,0.0,No,No,,Yes,No,,,No,No,No,No,,Month-to-month,Yes,Electronic check,92.12064680561092,337.15063856994436,Yes
5364-XYIRR,Male,0.0,Yes,No,66.54230358782382,Yes,Yes,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,,Electronic check,108.75007417025809,4820.434467624401,Yes
4829-AUOAX,Female,0.0,No,No,60.01653233373263,,Yes,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.72146803204916,4405.272353327389,Yes
1219-NNDDO,Female,,No,No,10.9021806122833,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.144239933507436,668.5272142083535,No
8388-DMKAE,Female,0.0,No,,6.84099459761957,Yes,No,,No internet service,,,No internet service,No internet service,No internet service,Two year,No,Mailed check,47.65646002608089,,No
4403-BWPAY,,0.0,,No,,Yes,,No,No internet service,,No internet service,No internet service,,,,Yes,Credit card (automatic),30.684824671199436,300.8056438287118,No
9659-QEQSY,Female,,No,,57.14305855248739,Yes,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,129.68951073858642,5113.110280101904,No
5405-ZMYXQ,Female,,,No,-1.499366630985035,Yes,Yes,Fiber optic,No,,No,No,,No,Month-to-month,,Credit card (automatic),59.73996124679014,,No
5047-LHVLY,Male,1.0,,Yes,-1.8667816962086219,,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.081851433985975,49.15365082421739,Yes
